-----+- ADTS Frame Table -+------+
 NUM | Profile | Frequency| Size |
  623|       LC|   44100Hz|   372|
  624|       LC|   44100Hz|   371|
  625|       LC|   44100Hz|   372|
  626|       LC|   44100Hz|   371|
  627|       LC|   44100Hz|   372|
  628|       LC|   44100Hz|   371|
  629|       LC|   44100Hz|   372|
  630|       LC|   44100Hz|   371|
  631|       LC|   44100Hz|   372|
  632|       LC|   44100Hz|   371|
  633|       LC|   44100Hz|   372|
  634|       LC|   44100Hz|   371|
  635|       LC|   44100Hz|   372|
  636|       LC|   44100Hz|   371|
  637|       LC|   44100Hz|   372|
  638|       LC|   44100Hz|   371|
  639|       LC|   44100Hz|   372|
  640|       LC|   44100Hz|   371|
  641|       LC|   44100Hz|   372|
  642|       LC|   44100Hz|   371|
  643|       LC|   44100Hz|   372|
  644|       LC|   44100Hz|   371|
  645|       LC|   44100Hz|   372|
  646|       LC|   44100Hz|   371|
  647|       LC|   44100Hz|   372|
  648|       LC|   44100Hz|   372|
  649|       LC|   44100Hz|   371|
  650|       LC|   44100Hz|   372|
  651|       LC|   44100Hz|   371|
  652|       LC|   44100Hz|   372|
  653|       LC|   44100Hz|   371|
  654|       LC|   44100Hz|   372|
  655|       LC|   44100Hz|   371|
  656|       LC|   44100Hz|   372|
  657|       LC|   44100Hz|   371|
  658|       LC|   44100Hz|   372|
  659|       LC|   44100Hz|   371|
  660|       LC|   44100Hz|   372|
  661|       LC|   44100Hz|   371|
  662|       LC|   44100Hz|   372|
  663|       LC|   44100Hz|   371|
  664|       LC|   44100Hz|   372|
  665|       LC|   44100Hz|   371|
  666|       LC|   44100Hz|   372|
  667|       LC|   44100Hz|   371|
  668|       LC|   44100Hz|   372|
  669|       LC|   44100Hz|   371|
  670|       LC|   44100Hz|   372|
  671|       LC|   44100Hz|   371|
  672|       LC|   44100Hz|   372|
  673|       LC|   44100Hz|   371|
  674|       LC|   44100Hz|   372|
  675|       LC|   44100Hz|   372|
  676|       LC|   44100Hz|   371|
  677|       LC|   44100Hz|   372|
  678|       LC|   44100Hz|   371|
  679|       LC|   44100Hz|   372|
  680|       LC|   44100Hz|   371|
  681|       LC|   44100Hz|   372|
  682|       LC|   44100Hz|   371|
  683|       LC|   44100Hz|   372|
  684|       LC|   44100Hz|   371|
  685|       LC|   44100Hz|   372|
  686|       LC|   44100Hz|   371|
  687|       LC|   44100Hz|   372|
  688|       LC|   44100Hz|   371|
  689|       LC|   44100Hz|   372|
  690|       LC|   44100Hz|   371|
  691|       LC|   44100Hz|   372|
  692|       LC|   44100Hz|   371|
  693|       LC|   44100Hz|   372|
  694|       LC|   44100Hz|   371|
  695|       LC|   44100Hz|   372|
  696|       LC|   44100Hz|   371|
  697|       LC|   44100Hz|   372|
  698|       LC|   44100Hz|   371|
  699|       LC|   44100Hz|   372|
  700|       LC|   44100Hz|   372|
  701|       LC|   44100Hz|   371|
  702|       LC|   44100Hz|   372|
  703|       LC|   44100Hz|   371|
  704|       LC|   44100Hz|   372|
  705|       LC|   44100Hz|   371|
  706|       LC|   44100Hz|   372|
  707|       LC|   44100Hz|   371|
  708|       LC|   44100Hz|   372|
  709|       LC|   44100Hz|   371|
  710|       LC|   44100Hz|   372|
  711|       LC|   44100Hz|   371|
  712|       LC|   44100Hz|   372|
  713|       LC|   44100Hz|   371|
  714|       LC|   44100Hz|   372|
  715|       LC|   44100Hz|   371|
  716|       LC|   44100Hz|   372|
  717|       LC|   44100Hz|   371|
  718|       LC|   44100Hz|   372|
  719|       LC|   44100Hz|   371|
  720|       LC|   44100Hz|   372|
  721|       LC|   44100Hz|   371|
  722|       LC|   44100Hz|   372|
  723|       LC|   44100Hz|   371|
  724|       LC|   44100Hz|   372|
  725|       LC|   44100Hz|   371|
  726|       LC|   44100Hz|   372|
  727|       LC|   44100Hz|   372|
  728|       LC|   44100Hz|   371|
  729|       LC|   44100Hz|   372|
  730|       LC|   44100Hz|   371|
  731|       LC|   44100Hz|   372|
  732|       LC|   44100Hz|   371|
  733|       LC|   44100Hz|   372|
  734|       LC|   44100Hz|   371|
  735|       LC|   44100Hz|   372|
  736|       LC|   44100Hz|   371|
  737|       LC|   44100Hz|   372|
  738|       LC|   44100Hz|   371|
  739|       LC|   44100Hz|   372|
  740|       LC|   44100Hz|   371|
  741|       LC|   44100Hz|   372|
  742|       LC|   44100Hz|   371|
  743|       LC|   44100Hz|   372|
  744|       LC|   44100Hz|   371|
  745|       LC|   44100Hz|   372|
  746|       LC|   44100Hz|   371|
  747|       LC|   44100Hz|   372|
  748|       LC|   44100Hz|   371|
  749|       LC|   44100Hz|   372|
  750|       LC|   44100Hz|   371|
  751|       LC|   44100Hz|   372|
  752|       LC|   44100Hz|   372|
  753|       LC|   44100Hz|   371|
  754|       LC|   44100Hz|   372|
  755|       LC|   44100Hz|   371|
  756|       LC|   44100Hz|   372|
  757|       LC|   44100Hz|   371|
  758|       LC|   44100Hz|   372|
  759|       LC|   44100Hz|   371|
  760|       LC|   44100Hz|   372|
  761|       LC|   44100Hz|   371|
  762|       LC|   44100Hz|   372|
  763|       LC|   44100Hz|   371|
  764|       LC|   44100Hz|   372|
  765|       LC|   44100Hz|   371|
  766|       LC|   44100Hz|   372|
  767|       LC|   44100Hz|   371|
  768|       LC|   44100Hz|   372|
  769|       LC|   44100Hz|   371|
  770|       LC|   44100Hz|   372|
